Ano,Indice_CPI
2024,147.410763824672
2023,142.740891437026
2022,133.660070279268
2021,123.848714629184
2020,120.806362123174
2019,119.622711300166
2018,117.579064176068
2017,114.943591640466
2016,112.076937303495
