Ano,Indice_CPI
1210,0.0845152933064964
1211,0.09484482742602446
1212,0.08315572150758804
1213,0.08035374463192643
1214,0.07764618187798014
1215,0.08257127326814587
1216,0.08780876282928157
1217,0.1016640417919602
1218,0.11855983025727941
1219,0.11484798278209811
1220,0.1002951973451751
1221,0.1122876594339315
1222,0.09481248901864386
1223,0.08005695478228138
1224,0.08832406315750453
1225,0.13218292912660795
1226,0.11954037814543914
1227,0.11955605374338224
1228,0.11738864913112072
1229,0.115260536906038
1230,0.11317100474534879
1231,0.11111935323980622
1232,0.10910489565959522
1233,0.10259309921287016
1234,0.10346124998337217
1235,0.10433674711309432
1236,0.10136721629079957
1237,0.11174201817364027
1238,0.10856822130031506
1239,0.10548456944815346
1240,0.10248850223753295
1241,0.099577532011026
1242,0.09674924176787923
1243,0.09400128315715928
1244,0.09133137452789909
1245,0.08873729903462582
1246,0.10217961217619034
1247,0.13524653140492265
1248,0.13353562895037857
1249,0.09873661383588556
1250,0.10807263254336011
1251,0.10089214319207238
1252,0.10373679946373755
1253,0.1192445089405897
1254,0.09110259615664267
1255,0.09362314033699501
1256,0.11921145336725442
1257,0.13818311921553542
1258,0.1358778065423957
1259,0.12973200544559324
1260,0.11569072841339567
1261,0.12263694743564804
1262,0.12428885033003835
1263,0.11174483386664498
1264,0.11373285123256227
1265,0.11788554426663991
1266,0.11861118824543092
1267,0.12732817329828452
1268,0.10878147014628027
1269,0.12975264365253353
1270,0.12704249497292627
1271,0.16018341700395414
1272,0.1682915997835985
1273,0.1396512561303817
1274,0.1586265916765532
1275,0.1551431033627364
1276,0.13836432117329195
1277,0.1567166031239967
1278,0.13559669111019107
1279,0.1252279585484968
1280,0.14175262898064717
1281,0.1323713034013524
1282,0.15293747373099004
1283,0.14728309027437653
1284,0.14831884819629826
1285,0.12451881460917706
1286,0.13460045535067947
1287,0.12113335077682187
1288,0.0991597044604936
1289,0.10720553217637498
1290,0.12475278012384074
1291,0.146114290547052
1292,0.13661963083648263
1293,0.1372251049095658
1294,0.15990439282453334
1295,0.16691552269093654
1296,0.15840858938583866
1297,0.13648121916679712
1298,0.14747787217672492
1299,0.14735042893277175
1300,0.1510310127868245
1301,0.14239028886550942
1302,0.13592118744500908
1303,0.12853354084784013
1304,0.12319147480842452
1305,0.13752841839683755
1306,0.13935552707314453
1307,0.13312511714780606
1308,0.1480429273852697
1309,0.17135775141752058
1310,0.18063167353323428
1311,0.18222391848412384
1312,0.14891203384934845
1313,0.14523760415348594
1314,0.15768305026714985
1315,0.1685870641930982
1316,0.23869315072498543
1317,0.24266202755277289
1318,0.18048518149930756
1319,0.13552512288220478
1320,0.1524571745600883
1321,0.16320309170848987
1322,0.22008456146433092
1323,0.18948149371788545
1324,0.16185692253254652
1325,0.17438488411130876
1326,0.1479296184955564
1327,0.12822754792238625
1328,0.14021424853678752
1329,0.1551477080710469
1330,0.15601226241952365
1331,0.16785333961039817
1332,0.17109637107062736
1333,0.14127130473934046
1334,0.1331873781418974
1335,0.1321060303203243
1336,0.138169772888156
1337,0.12938764929899874
1338,0.11687592145941665
1339,0.10701715738273124
1340,0.13941135777249888
1341,0.11884169717108975
1342,0.1244135839139063
1343,0.12155102108732395
1344,0.13591431913382962
1345,0.12008691160850822
1346,0.1262977304349517
1347,0.1548077402722917
1348,0.15448287466086102
1349,0.12291668972636645
1350,0.147001555326607
1351,0.1751071809921378
1352,0.19935496545590142
1353,0.15743583343663745
1354,0.14915364570700962
1355,0.1555790409800658
1356,0.1633346437048544
1357,0.16889413714284096
1358,0.17070253115072653
1359,0.16139532038258364
1360,0.16276226191063128
1361,0.1617627841141808
1362,0.15471485463184062
1363,0.1790770580120953
1364,0.19138444512271785
1365,0.17424638038977214
1366,0.15961977989697362
1367,0.16291078839217246
1368,0.17818049538246464
1369,0.1779372104332734
1370,0.2482435671481796
1371,0.1835770811118822
1372,0.16714148955727562
1373,0.1833336413627465
1374,0.1606890905020086
1375,0.19002442560798222
1376,0.1870445102534195
1377,0.14624022890350505
1378,0.13725243588298552
1379,0.1310579367515332
1380,0.1574168504752974
1381,0.15964932661705059
1382,0.1470313682453242
1383,0.1454642731947942
1384,0.14663805656259174
1385,0.1408503653875169
